id,name,benefit_url,stock_price
3139,ラクト・ジャパン,https://www.lactojapan.com/ir/stock/benefit.html,2823.0
3140,イデアインターナショナル,https://idea-in.com/?pg=investor&wm=benefit&bm=benefit,830.0
3141,ウエルシアホールディングス,http://www.welcia.co.jp/ja/ir/stock/benefit.html,3820.0
3148,クリエイトＳＤホールディングス,http://www.createsdhd.co.jp/ir/tabid/79/Default.aspx,3615.0
3151,バイタルケーエスケー・ホールディングス,https://www.vitalksk.co.jp/ir/information,815.0
3153,八洲電機,https://www.yashimadenki.co.jp/ir_stock_bond_03.php,974.0
3154,メディアスホールディングス,https://www.medius.co.jp/,778.0
3157,ジューテックホールディングス,https://www.jutec-hd.jp/ir/stock/benefit.html,1032.0
3159,丸善ＣＨＩホールディングス,http://www.maruzen-chi.co.jp/ir/yutai.html,370.0
3160,大光,http://www.oomitsu.com/ir/yuutai_20180109.pdf,661.0
3166,ＯＣＨＩホールディングス,http://www.ochiholdings.co.jp/stockholder/benefit.html,1300.0
3167,ＴＯＫＡＩホールディングス,https://www.tokaiholdings.co.jp/ir/stock/benefit.html,993.0
3168,黒谷,http://www.kurotani.co.jp/,711.0
3169,ミサワ,http://www.unico-fan.co.jp/ir/yuutai.html,641.0
3172,ティーライフ,https://tealifeir.com/ir/stock.html,1159.0
3173,Ｃｏｍｉｎｉｘ,https://www.cominix.jp/,740.0
3174,ハピネス・アンド・ディ,https://www.happiness-d.co.jp/company/shareholderbenefit4.html,901.0
3175,エー・ピーホールディングス,http://www.apcompany.jp/ir/other/benefit.php,394.0
3178,チムニー,http://www.chimney.co.jp/ir/stock_02.html,1174.0
3179,シュッピン,https://www.syuppin.co.jp/ir/stockholder/#,814.0
3180,ビューティガレージ,https://www.beautygarage.co.jp/ir/benefit/,2649.0
3182,オイシックス・ラ・大地,https://www.oisixradaichi.co.jp/investors/stock/benefit/,3030.0
3183,ウイン・パートナーズ,http://www.win-partners.co.jp/,1223.0
3185,夢展望,http://www.dreamv.co.jp/,204.0
3189,ＡＮＡＰ,http://www.anap.co.jp/,400.0
3190,ホットマン,http://www.yg-hotman.com/ir/kabunushiyutai.php,505.0
3191,ジョイフル本田,http://www.joyfulhonda.info/,1400.0
3193,鳥貴族,https://www.torikizoku.co.jp/company/ir/preferential.html,1421.0
3196,ホットランド,http://www.hotland.co.jp/ir/yutai.php,1273.0
3197,すかいらーくホールディングス,https://ir.skylark.co.jp/stock/benefit.html,1626.0
3198,ＳＦＰホールディングス,https://www.sfpdining.jp/ir/stock/benefit/,1218.0
3199,綿半ホールディングス,https://watahan.co.jp/ir/stockholder.html,1284.0
3201,日本毛織,http://www.nikke.co.jp/ir/stockholder/,994.0
3202,ダイトウボウ,http://www.daitobo.co.jp/ir/yuutai.html,112.0
3205,ダイドーリミテッド,https://www.daidoh-limited.com/ir/yutai.html,182.0
3221,ヨシックス,https://yossix.co.jp/ir/stockholder.html,1846.0
